theme_id	class_id	subclass_id	orientation_id	north	east	south	west
1	1	0	0	0:10	0:20;0:29	0:2;0:4;0:10;0:16	0:2;0:4;0:6
1	1	0	1		0:20	0:35	
1	1	0	2	0:0;0:2;0:4;0:12;0:15;0:21;0:22;0:30;0:33	0:0;0:2;0:4;0:7;0:10;0:21;0:26;0:32	0:2;0:4;0:6;0:10;0:16;0:34	0:2;0:3;0:4;0:12;0:16
1	1	0	3	0:23	0:2;0:21;0:26	0:29	
1	1	0	4	0:0;0:2;0:4;0:6;0:15;0:21;0:30;0:32;0:35	0:0;0:2;0:4;0:10;0:21;0:26;0:30;0:32;0:33	0:2;0:4;0:5;0:10;0:16;0:26;0:33;0:34	0:2;0:4;0:6;0:15;0:16;0:34
1	1	0	5	0:4;0:6;0:12	0:34		
1	1	0	6	0:2;0:22	0:0;0:4;0:10	0:4;0:5;0:16;0:33	0:29
1	1	0	7	0:29	0:17	0:21;0:29	0:2
1	1	0	8	0:29	0:29	0:29	0:23
1	1	0	9	0:29		0:36	0:28
1	1	0	10	0:0;0:2;0:4;0:12;0:21;0:33	0:13;0:16;0:29	0:0;0:29	0:2;0:4;0:6;0:12;0:16;0:34
1	1	0	11		0:29	0:18;0:28	0:37
1	1	0	12	0:16;0:27;0:29	0:2;0:10;0:21;0:26	0:2;0:5;0:10;0:16;0:26	0:18;0:21;0:23
1	1	0	13	0:32	0:17	0:17	0:10
1	1	0	14	0:18;0:31;0:36	0:18;0:31;0:36	0:17;0:29	0:29
1	1	0	15	0:29	0:4;0:33	0:2;0:4	0:22
1	1	0	16	0:0;0:2;0:4;0:6;0:12;0:21;0:33	0:2;0:4;0:10;0:26	0:12;0:27	0:10;0:26
1	1	0	17	0:13;0:14;0:29	0:31;0:36;0:37	0:19;0:25;0:36	0:7;0:13;0:29
1	1	0	18	0:11	0:12;0:29	0:14;0:23;0:31	0:14;0:31;0:36
1	1	0	19	0:17	0:31		
1	1	0	20	0:29	0:29	0:30;0:32	0:0;0:1;0:22
1	1	0	21	0:7;0:23	0:12;0:29	0:2;0:4;0:10;0:16;0:26;0:33;0:34	0:2;0:3;0:4;0:12
1	1	0	22		0:15;0:20;0:35	0:2;0:6	0:29
1	1	0	23	0:18;0:31;0:36	0:8;0:12	0:3;0:21	0:29
1	1	0	24	0:29	0:29		
1	1	0	25	0:17;0:37		0:29	
1	1	0	26	0:4;0:12;0:21;0:33	0:16;0:29	0:29	0:2;0:3;0:4;0:12;0:16;0:34
1	1	0	27	0:16	0:29	0:12	
1	1	0	28	0:11	0:9	0:31	0:31
1	1	0	29	0:3;0:7;0:8;0:10;0:14;0:25;0:26;0:29;0:34	0:6;0:14;0:17;0:22;0:23;0:29	0:7;0:8;0:9;0:12;0:15;0:17;0:20;0:24;0:29;0:32;0:37	0:0;0:8;0:10;0:11;0:18;0:20;0:21;0:24;0:26;0:27;0:29;0:32;0:33
1	1	0	30	0:20		0:2;0:4	0:4;0:35
1	1	0	31	0:18;0:28;0:31;0:36;0:37	0:18;0:28;0:31;0:36;0:37	0:14;0:23;0:31;0:36	0:14;0:17;0:19;0:31;0:36
1	1	0	32	0:20;0:29;0:32	0:29	0:4;0:13;0:32;0:33	0:2;0:4
1	1	0	33	0:4;0:6;0:21;0:32	0:29	0:2;0:10;0:16;0:26	0:4;0:15
1	1	0	34	0:2;0:4;0:21	0:4;0:10;0:26	0:29	0:5
1	1	0	35	0:1	0:30	0:4	0:22
1	1	0	36	0:9;0:17;0:31;0:36;0:37	0:18;0:31;0:36;0:37	0:14;0:23;0:31;0:36	0:14;0:17;0:31;0:36
1	1	0	37	0:29	0:11	0:25;0:31;0:36	0:17;0:31;0:36
1	2	0	0	0:1;0:2	0:1;0:2		0:1
1	2	0	1	0:1;0:2	0:0;0:1;0:2	0:0;0:1;0:2	0:0;0:1;0:2
1	2	0	2	0:1;0:2	0:1;0:2	0:0;0:1;0:2	0:0;0:1;0:2
