class_id	class_name
1	PLAIN
2	FOREST
3	MOUNTAIN
4	PEAK
5	VALLEY
6	CLIFF
7	ROAD
8	PLAIN-ROAD
9	DESERT
10	SAND
11	RIVER
12	WATER
13	LAKE
14	SEA
15	BRIDGE
16	FORT
17	VILLAGE
18	HOUSE
19	ARMORY
20	VENDOR
21	ARENA
22	INN
23	WALL
24	WALL2
25	FLOOR
26	STAIRS
27	DOOR
28	GATE
29	FENCE
30	FENCE-WALL
31	FENCE-BRACE
32	WALL-BRACE
33	BRACE-WALL
34	PILLAR
35	THRONE
36	CHEST
37	ROOF
38	RUINS
39	THICKET
40	SNAG
41	BARREL
42	BONE
43	DARK
44	DECK
45	GUNNELS
46	MAST
47	BRACE
48	FLAT
49	DASHDASH
50	UNDEFINED
51	LAKE-CLIFF
52	VILLAGE-HOUSE
