id	symbol	name	default_class_symbol	default_class_id	portrait_id	affinity	base_level	baseHP	basePow	baseSkl	baseSpd	baseDef	baseRes	baseLck	baseCon	growthHP	growthPow	growthSkl	growthSpd	growthDef	growthRes	growthLck	attributes	visit_group
1	CHARACTER_EIRIKA	Eirika	CLASS_EIRIKA_LORD	2	2	UNIT_AFFIN_LIGHT	1	0	0	0	0	0	0	5	0	70	40	60	60	30	30	60	CA_FEMALE	7
2	CHARACTER_SETH	Seth	CLASS_PALADIN	7	4	UNIT_AFFIN_ANIMA	1	7	7	9	5	3	5	13	0	90	50	45	45	40	30	25		3
3	CHARACTER_GILLIAM	Gilliam	CLASS_ARMOR_KNIGHT	9	5	UNIT_AFFIN_THUNDER	4	8	4	4	3	0	3	3	1	90	45	35	30	55	20	30		4
4	CHARACTER_FRANZ	Franz	CLASS_CAVALIER	5	6	UNIT_AFFIN_LIGHT	1	0	2	3	2	0	1	2	0	80	40	40	50	25	20	40		3
5	CHARACTER_MOULDER	Moulder	CLASS_PRIEST	69	7	UNIT_AFFIN_ANIMA	3	2	3	5	7	1	0	1	4	70	40	50	40	25	25	20		4
6	CHARACTER_VANESSA	Vanessa	CLASS_PEGASUS_KNIGHT	72	8	UNIT_AFFIN_ANIMA	1	3	1	2	6	3	3	4	0	50	35	55	60	20	30	50	CA_FEMALE | CA_TRIANGLEATTACK_PEGASI	10
7	CHARACTER_ROSS	Ross	CLASS_JOURNEYMAN	61	9	UNIT_AFFIN_FIRE	1	1	2	2	2	2	0	8	0	70	50	35	30	25	20	40		5
8	CHARACTER_NEIMI	Neimi	CLASS_ARCHER_F	26	10	UNIT_AFFIN_FIRE	1	0	1	2	2	0	2	4	0	55	45	50	60	15	35	50	CA_FEMALE	7
9	CHARACTER_COLM	Colm	CLASS_THIEF	13	12	UNIT_AFFIN_LIGHT	2	2	1	3	1	1	1	8	0	75	40	40	65	25	20	45		0
10	CHARACTER_GARCIA	Garcia	CLASS_FIGHTER	63	14	UNIT_AFFIN_FIRE	4	8	3	5	3	3	1	3	3	80	65	40	20	25	15	40		1
11	CHARACTER_INNES	Innes	CLASS_SNIPER	27	15	UNIT_AFFIN_ICE	1	10	7	7	10	5	7	14	1	75	40	40	45	20	25	45		0
12	CHARACTER_LUTE	Lute	CLASS_MAGE_F	38	16	UNIT_AFFIN_ANIMA	1	1	5	3	5	1	1	8	0	45	65	30	45	15	40	45	CA_FEMALE	7
13	CHARACTER_NATASHA	Natasha	CLASS_CLERIC	74	17	UNIT_AFFIN_ICE	1	2	1	2	6	2	0	6	0	50	60	25	40	15	55	60	CA_FEMALE	10
14	CHARACTER_CORMAG	Cormag	CLASS_WYVERN_RIDER	31	19	UNIT_AFFIN_FIRE	9	10	7	6	5	4	2	4	1	85	55	40	45	25	15	35		0
15	CHARACTER_EPHRAIM	Ephraim	CLASS_EPHRAIM_LORD	1	20	UNIT_AFFIN_FIRE	4	5	2	3	4	1	2	8	0	80	55	55	45	35	25	50		3
16	CHARACTER_FORDE	Forde	CLASS_CAVALIER	5	22	UNIT_AFFIN_WIND	5	4	2	6	3	2	2	7	0	85	40	50	45	20	25	35		3
17	CHARACTER_KYLE	Kyle	CLASS_CAVALIER	5	24	UNIT_AFFIN_ICE	6	5	4	4	2	3	1	6	1	90	50	40	40	25	20	20		3
18	CHARACTER_AMELIA	Amelia	CLASS_RECRUIT	71	25	UNIT_AFFIN_THUNDER	1	3	1	3	3	2	2	6	0	60	35	40	40	30	15	50	CA_FEMALE	7
19	CHARACTER_ARTUR	Artur	CLASS_MONK	68	26	UNIT_AFFIN_ICE	2	1	5	5	6	1	1	2	0	55	50	50	40	15	55	25		0
20	CHARACTER_GERIK	Gerik	CLASS_MERCENARY	15	27	UNIT_AFFIN_THUNDER	10	14	10	5	5	6	4	8	4	90	45	40	30	35	25	30		4
21	CHARACTER_TETHYS	Tethys	CLASS_DANCER	77	28	UNIT_AFFIN_FIRE	1	4	0	0	5	5	3	10	1	85	5	10	70	30	75	80	CA_FEMALE	7
22	CHARACTER_MARISA	Marisa	CLASS_MYRMIDON_F	20	30	UNIT_AFFIN_ICE	5	8	4	3	3	3	2	9	0	75	30	55	60	15	25	50	CA_FEMALE	12
23	CHARACTER_SALEH	Saleh	CLASS_SAGE	39	32	UNIT_AFFIN_WIND	2	10	11	14	10	3	8	11	1	50	30	25	40	30	35	40		6
24	CHARACTER_EWAN	Ewan	CLASS_PUPIL	62	33	UNIT_AFFIN_LIGHT	2	2	2	2	4	0	0	5	0	50	45	40	35	15	40	50		5
25	CHARACTER_LARACHEL	Larachel	CLASS_TROUBADOUR	75	34	UNIT_AFFIN_LIGHT	3	3	5	5	7	3	3	12	0	45	50	45	45	15	50	65	CA_FEMALE	11
26	CHARACTER_DOZLA	Dozla	CLASS_BERSERKER	67	35	UNIT_AFFIN_THUNDER	1	19	9	5	2	5	6	4	3	85	50	35	40	30	25	30		4
28	CHARACTER_RENNAC	Rennac	CLASS_ROGUE	51	36	UNIT_AFFIN_DARK	1	12	7	15	8	7	11	5	0	65	25	45	60	25	30	25		0
29	CHARACTER_DUESSEL	Duessel	CLASS_GREAT_KNIGHT	53	37	UNIT_AFFIN_ANIMA	8	20	9	8	6	6	6	8	2	85	55	40	30	45	30	20		4
30	CHARACTER_MYRRH	Myrrh	CLASS_MANAKETE_MYRRH	60	38	UNIT_AFFIN_WIND	1	3	3	1	3	0	5	3	0	130	90	85	65	150	30	30	CA_FEMALE	12
31	CHARACTER_KNOLL	Knoll	CLASS_SHAMAN	45	41	UNIT_AFFIN_DARK	9	5	10	8	6	0	6	0	0	70	50	40	35	10	45	20		3
32	CHARACTER_JOSHUA	Joshua	CLASS_MYRMIDON	19	42	UNIT_AFFIN_WIND	5	8	4	4	5	3	2	7	0	80	35	55	55	20	20	30		3
33	CHARACTER_SYRENE	Syrene	CLASS_FALCON_KNIGHT	73	43	UNIT_AFFIN_THUNDER	1	7	6	6	8	5	8	12	1	70	40	50	60	20	50	30	CA_FEMALE | CA_TRIANGLEATTACK_PEGASI	10
34	CHARACTER_TANA	Tana	CLASS_PEGASUS_KNIGHT	72	44	UNIT_AFFIN_WIND	4	6	3	4	8	3	5	8	0	65	45	40	65	20	25	60	CA_FEMALE | CA_TRIANGLEATTACK_PEGASI	10
