class_id	class_symbol	visual_id	visual_enum	asset_key
1	CLASS_EPHRAIM_LORD	36	EphraimLord	Ephraim_Lord
2	CLASS_EIRIKA_LORD	32	EirikaLord	Eirika_Lord
3	CLASS_EPHRAIM_MASTER_LORD	37	EphraimMasterLord	Ephraim_Master_Lord
4	CLASS_EIRIKA_MASTER_LORD	33	EirikaMasterLord	Eirika_Master_Lord
5	CLASS_CAVALIER	20	Cavalier	Cavalier
6	CLASS_CAVALIER_F	20	Cavalier	Cavalier
7	CLASS_PALADIN	69	Paladin	Paladin
8	CLASS_PALADIN_F	69	Paladin	Paladin
9	CLASS_ARMOR_KNIGHT	3	ArmorKnight	Armor_Knight
10	CLASS_ARMOR_KNIGHT_F	3	ArmorKnight	Armor_Knight
11	CLASS_GENERAL	44	General	General
12	CLASS_GENERAL_F	44	General	General
13	CLASS_THIEF	95	Thief	Thief
14	CLASS_MANAKETE	58	Manakete	Manakete
15	CLASS_MERCENARY	62	Mercenary	Mercenary
16	CLASS_MERCENARY_F	63	MercenaryF	Mercenary_F
17	CLASS_HERO	50	Hero	Hero
18	CLASS_HERO_F	51	HeroF	Hero_F
19	CLASS_MYRMIDON	66	Myrmidon	Myrmidon
20	CLASS_MYRMIDON_F	67	MyrmidonF	Myrmidon_F
21	CLASS_SWORDMASTER	91	Swordmaster	Swordmaster
22	CLASS_SWORDMASTER_F	92	SwordmasterF	Swordmaster_F
23	CLASS_ASSASSIN	4	Assassin	Assassin
24	CLASS_ASSASSIN_F	5	AssassinF	Assassin_F
25	CLASS_ARCHER	1	Archer	Archer
26	CLASS_ARCHER_F	2	ArcherF	Archer_F
27	CLASS_SNIPER	87	Sniper	Sniper
28	CLASS_SNIPER_F	88	SniperF	Sniper_F
29	CLASS_RANGER	80	Ranger	Ranger
30	CLASS_RANGER_F	80	Ranger	Ranger
31	CLASS_WYVERN_RIDER	106	WyvernRider	Wyvern_Rider
32	CLASS_WYVERN_RIDER_F	104	WyvernLord	Wyvern_Lord
33	CLASS_WYVERN_LORD	105	WyvernLordF	Wyvern_Lord_F
34	CLASS_WYVERN_LORD_F	102	WyvernKnight	Wyvern_Knight
