id	symbol	name	promotion_symbol	promotion_id	sms_id	slow_walking	baseHP	basePow	baseSkl	baseSpd	baseDef	baseRes	baseCon	baseMov	maxHP	maxPow	maxSkl	maxSpd	maxDef	maxRes	maxCon	growthHP	growthPow	growthSkl	growthSpd	growthDef	growthRes	growthLck	growthCon	promotionHP	promotionPow	promotionSkl	promotionSpd	promotionDef	promotionRes	promotionCon	attributes	movement_cost_table
1	CLASS_EPHRAIM_LORD	Ephraim Lord	CLASS_EPHRAIM_MASTER_LORD	3	0	0	18	6	6	7	6	0	8	5	60	20	20	20	20	20	20	90	45	40	45	15	15		0	0	0	0	0	0	0	0	CA_LORD | CA_LOCK_5	TerrainTable_MovCost_CommonT2Normal
2	CLASS_EIRIKA_LORD	Eirika Lord	CLASS_EIRIKA_MASTER_LORD	4	1	0	16	4	8	9	3	1	5	5	60	20	20	20	20	20	20	90	45	40	45	15	20		0	0	0	0	0	0	0	0	CA_LORD | CA_LOCK_2 | CA_LOCK_4	TerrainTable_MovCost_CommonT2Normal
3	CLASS_EPHRAIM_MASTER_LORD	Ephraim Master Lord	CLASS_EPHRAIM_LORD	1	2	0	18	3	3	4	5	0	10	7	60	27	26	24	23	23	25	90	45	40	45	15	15		0	0	2	3	2	2	5	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED | CA_LORD | CA_LOCK_5	TerrainTable_MovCost_HorseT2Normal
4	CLASS_EIRIKA_MASTER_LORD	Eirika Master Lord	CLASS_EIRIKA_LORD	2	3	0	18	3	3	4	5	0	7	7	60	24	29	30	22	25	25	90	45	40	45	15	20		0	0	2	2	1	3	5	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED | CA_LORD | CA_LOCK_2 | CA_LOCK_4	TerrainTable_MovCost_HorseT2Normal
5	CLASS_CAVALIER	Cavalier	CLASS_PALADIN	7	4	0	20	5	2	5	6	0	9	7	60	20	20	20	20	20	25	75	35	40	28	15	15		0	0	0	0	0	0	0	0	CA_MOUNTEDAID | CA_CANTO | CA_MOUNTED	TerrainTable_MovCost_HorseT1Normal
6	CLASS_CAVALIER_F	Cavalier F	CLASS_PALADIN_F	8	4	0	18	5	3	3	6	0	9	7	60	20	20	20	20	20	25	75	35	40	28	15	15		0	0	0	2	2	0	2	0	CA_MOUNTEDAID | CA_CANTO | CA_MOUNTED	TerrainTable_MovCost_HorseT1Normal
7	CLASS_PALADIN	Paladin	CLASS_CAVALIER	5	5	0	23	7	4	7	8	3	11	8	60	25	26	24	25	25	25	70	25	30	18	12	20		0	0	1	1	1	2	1	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_HorseT2Normal
8	CLASS_PALADIN_F	Paladin F	CLASS_CAVALIER_F	6	5	0	23	6	6	11	7	6	9	8	60	23	27	25	24	26	25	70	25	35	25	12	25		0	0	1	1	2	1	2	0	CA_MOUNTEDAID | CA_CANTO | CA_PROMOTED | CA_MOUNTED	TerrainTable_MovCost_HorseT2Normal
9	CLASS_ARMOR_KNIGHT	Armor Knight	CLASS_GENERAL	11	6	0	17	5	2	0	9	0	13	4	60	20	20	20	20	20	20	80	40	30	15	28	20		0	0	0	0	0	0	0	0		TerrainTable_MovCost_ArmorNormal
10	CLASS_ARMOR_KNIGHT_F	Armor Knight F	CLASS_GENERAL_F	12	6	0	16	4	3	1	8	1	10	4	60	20	20	20	20	20	20	80	40	30	15	28	20		0	0	1	1	1	2	0	0		TerrainTable_MovCost_ArmorNormal
11	CLASS_GENERAL	General	CLASS_ARMOR_KNIGHT	9	7	0	21	8	4	3	13	3	15	5	60	29	27	24	30	25	25	75	30	20	10	23	25		0	0	2	2	3	2	3	0	CA_PROMOTED	TerrainTable_MovCost_ArmorNormal
12	CLASS_GENERAL_F	General F	CLASS_ARMOR_KNIGHT_F	10	7	0	20	8	5	5	11	4	11	5	60	27	28	25	29	26	25	75	30	25	10	23	25		0	0	2	3	2	3	3	0	CA_PROMOTED	TerrainTable_MovCost_ArmorNormal
13	CLASS_THIEF	Thief	CLASS_ASSASSIN	23	8	0	16	3	1	9	2	0	6	6	60	20	20	20	20	20	20	50	5	45	40	5	20		0	0	0	0	0	0	0	0	CA_STEAL | CA_THIEF	TerrainTable_MovCost_ThiefNormal
14	CLASS_MANAKETE	Manakete	CLASS_WYVERN_RIDER	31	9	0	12	0	0	2	2	2	5	8	60	20	20	20	20	20	20	95	40	30	20	0	10		0	0	0	0	0	0	0	0	CA_LOCK_3	TerrainTable_MovCost_FlyNormal
15	CLASS_MERCENARY	Mercenary	CLASS_HERO	17	10	0	18	4	8	8	4	0	9	5	60	20	20	20	20	20	20	80	40	40	32	18	20		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CommonT1Normal
16	CLASS_MERCENARY_F	Mercenary F	CLASS_HERO_F	18	11	0	16	3	5	6	2	0	8	5	60	20	20	20	20	20	20	80	40	40	32	18	30		0	0	0	0	0	0	0	0		TerrainTable_MovCost_CommonT1Normal
