visual_id	visual_enum	asset_key	animation_id	animation	frames	ticks
0	ArchMogall	Arch_Mogall	0	left	0,1,2,3	13,6,13,6
0	ArchMogall	Arch_Mogall	1	right	4,5,6,7	13,6,13,6
0	ArchMogall	Arch_Mogall	2	down	8,9,10,11	13,6,13,6
0	ArchMogall	Arch_Mogall	3	up	12,13,14,15	13,6,13,6
0	ArchMogall	Arch_Mogall	4	selected	16,17,18,17	20,4,20,4
1	Archer	Archer	0	left	0,1,2,3	13,6,13,6
1	Archer	Archer	1	right	4,5,6,7	13,6,13,6
1	Archer	Archer	2	down	8,9,10,11	13,6,13,6
1	Archer	Archer	3	up	12,13,14,15	13,6,13,6
1	Archer	Archer	4	selected	16,17,18,17	20,4,20,4
2	ArcherF	Archer_F	0	left	0,1,2,3	13,6,13,6
2	ArcherF	Archer_F	1	right	4,5,6,7	13,6,13,6
2	ArcherF	Archer_F	2	down	8,9,10,11	13,6,13,6
2	ArcherF	Archer_F	3	up	12,13,14,15	13,6,13,6
2	ArcherF	Archer_F	4	selected	16,17,18,17	20,4,20,4
3	ArmorKnight	Armor_Knight	0	left	0,1,2,3	13,6,13,6
3	ArmorKnight	Armor_Knight	1	right	4,5,6,7	13,6,13,6
3	ArmorKnight	Armor_Knight	2	down	8,9,10,11	13,6,13,6
3	ArmorKnight	Armor_Knight	3	up	12,13,14,15	13,6,13,6
3	ArmorKnight	Armor_Knight	4	selected	16,17,18,17	20,4,20,4
4	Assassin	Assassin	0	left	0,1,2,3	13,6,13,6
4	Assassin	Assassin	1	right	4,5,6,7	13,6,13,6
4	Assassin	Assassin	2	down	8,9,10,11	13,6,13,6
4	Assassin	Assassin	3	up	12,13,14,15	13,6,13,6
4	Assassin	Assassin	4	selected	16,17,18,17	20,4,20,4
5	AssassinF	Assassin_F	0	left	0,1,2,3	13,6,13,6
5	AssassinF	Assassin_F	1	right	4,5,6,7	13,6,13,6
5	AssassinF	Assassin_F	2	down	8,9,10,11	13,6,13,6
5	AssassinF	Assassin_F	3	up	12,13,14,15	13,6,13,6
5	AssassinF	Assassin_F	4	selected	16,17,18,17	20,4,20,4
6	Bael	Bael	0	left	0,1,2,3	13,6,13,6
6	Bael	Bael	1	right	4,5,6,7	13,6,13,6
6	Bael	Bael	2	down	8,9,10,11	13,6,13,6
6	Bael	Bael	3	up	12,13,14,15	13,6,13,6
6	Bael	Bael	4	selected	16,17,18,17	20,4,20,4
7	Bard	Bard	0	left	0,1,2,3	13,6,13,6
7	Bard	Bard	1	right	4,5,6,7	13,6,13,6
7	Bard	Bard	2	down	8,9,10,11	13,6,13,6
7	Bard	Bard	3	up	12,13,14,15	13,6,13,6
7	Bard	Bard	4	selected	16,17,18,17	20,4,20,4
7	Bard	Bard	5	action_5	17,18,17,16,17,18,0	6,15,3,11,5,11,0
8	Berserker	Berserker	0	left	0,1,2,3	13,6,13,6
8	Berserker	Berserker	1	right	4,5,6,7	13,6,13,6
8	Berserker	Berserker	2	down	8,9,10,11	13,6,13,6
8	Berserker	Berserker	3	up	12,13,14,15	13,6,13,6
8	Berserker	Berserker	4	selected	16,17,18,17	20,4,20,4
9	Bishop	Bishop	0	left	0,1,2,3	13,6,13,6
9	Bishop	Bishop	1	right	4,5,6,7	13,6,13,6
9	Bishop	Bishop	2	down	8,9,10,11	13,6,13,6
9	Bishop	Bishop	3	up	12,13,14,15	13,6,13,6
9	Bishop	Bishop	4	selected	16,17,18,17	20,4,20,4
10	BishopF	Bishop_F	0	left	0,1,2,3	13,6,13,6
10	BishopF	Bishop_F	1	right	4,5,6,7	13,6,13,6
10	BishopF	Bishop_F	2	down	8,9,10,11	13,6,13,6
10	BishopF	Bishop_F	3	up	12,13,14,15	13,6,13,6
10	BishopF	Bishop_F	4	selected	16,17,18,17	20,4,20,4
11	BlstKillerEmpty	Blst_Killer_Empty	0	left	0,1,2,3	13,6,13,6
11	BlstKillerEmpty	Blst_Killer_Empty	1	right	4,5,6,7	13,6,13,6
11	BlstKillerEmpty	Blst_Killer_Empty	2	down	8,9,10,11	13,6,13,6
11	BlstKillerEmpty	Blst_Killer_Empty	3	up	12,13,14,15	13,6,13,6
11	BlstKillerEmpty	Blst_Killer_Empty	4	selected	16,17,18,17	20,4,20,4
12	BlstKillerUsed	Blst_Killer_Used	0	left	0,1,2,3	13,6,13,6
12	BlstKillerUsed	Blst_Killer_Used	1	right	4,5,6,7	13,6,13,6
12	BlstKillerUsed	Blst_Killer_Used	2	down	8,9,10,11	13,6,13,6
12	BlstKillerUsed	Blst_Killer_Used	3	up	12,13,14,15	13,6,13,6
12	BlstKillerUsed	Blst_Killer_Used	4	selected	16,17,18,17	20,4,20,4
13	BlstLongEmpty	Blst_Long_Empty	0	left	0,1,2,3	13,6,13,6
13	BlstLongEmpty	Blst_Long_Empty	1	right	4,5,6,7	13,6,13,6
13	BlstLongEmpty	Blst_Long_Empty	2	down	8,9,10,11	13,6,13,6
13	BlstLongEmpty	Blst_Long_Empty	3	up	12,13,14,15	13,6,13,6
13	BlstLongEmpty	Blst_Long_Empty	4	selected	16,17,18,17	20,4,20,4
14	BlstLongUsed	Blst_Long_Used	0	left	0,1,2,3	13,6,13,6
14	BlstLongUsed	Blst_Long_Used	1	right	4,5,6,7	13,6,13,6
14	BlstLongUsed	Blst_Long_Used	2	down	8,9,10,11	13,6,13,6
