visual_id	enum	asset_key	move_png	wait_png	source_motion
0	ArchMogall	Arch_Mogall	graphics/unit_icon/move/unit_icon_move_Arch_Mogall_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Arch_Mogall_sheet.png	unit_icon_move_Arch_Mogall_motion
1	Archer	Archer	graphics/unit_icon/move/unit_icon_move_Archer_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Archer_sheet.png	unit_icon_move_Archer_motion
2	ArcherF	Archer_F	graphics/unit_icon/move/unit_icon_move_Archer_F_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Archer_F_sheet.png	unit_icon_move_Archer_F_motion
3	ArmorKnight	Armor_Knight	graphics/unit_icon/move/unit_icon_move_Armor_Knight_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Armor_Knight_sheet.png	unit_icon_move_Armor_Knight_motion
4	Assassin	Assassin	graphics/unit_icon/move/unit_icon_move_Assassin_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Assassin_sheet.png	unit_icon_move_Assassin_motion
5	AssassinF	Assassin_F	graphics/unit_icon/move/unit_icon_move_Assassin_F_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Assassin_F_sheet.png	unit_icon_move_Assassin_F_motion
6	Bael	Bael	graphics/unit_icon/move/unit_icon_move_Bael_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Bael_sheet.png	unit_icon_move_Bael_motion
7	Bard	Bard	graphics/unit_icon/move/unit_icon_move_Bard_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Bard_sheet.png	unit_icon_move_Bard_motion
8	Berserker	Berserker	graphics/unit_icon/move/unit_icon_move_Berserker_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Berserker_sheet.png	unit_icon_move_Berserker_motion
9	Bishop	Bishop	graphics/unit_icon/move/unit_icon_move_Bishop_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Bishop_sheet.png	unit_icon_move_Bishop_motion
10	BishopF	Bishop_F	graphics/unit_icon/move/unit_icon_move_Bishop_F_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Bishop_F_sheet.png	unit_icon_move_Bishop_F_motion
11	BlstKillerEmpty	Blst_Killer_Empty	graphics/unit_icon/move/unit_icon_move_Blst_Killer_Empty_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Blst_Killer_Empty_sheet.png	unit_icon_move_Blst_Killer_Empty_motion
12	BlstKillerUsed	Blst_Killer_Used	graphics/unit_icon/move/unit_icon_move_Blst_Killer_Used_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Blst_Killer_Used_sheet.png	unit_icon_move_Blst_Killer_Used_motion
13	BlstLongEmpty	Blst_Long_Empty	graphics/unit_icon/move/unit_icon_move_Blst_Long_Empty_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Blst_Long_Empty_sheet.png	unit_icon_move_Blst_Long_Empty_motion
14	BlstLongUsed	Blst_Long_Used	graphics/unit_icon/move/unit_icon_move_Blst_Long_Used_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Blst_Long_Used_sheet.png	unit_icon_move_Blst_Long_Used_motion
15	BlstRegularUsed	Blst_Regular_Used	graphics/unit_icon/move/unit_icon_move_Blst_Regular_Used_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Blst_Regular_Used_sheet.png	unit_icon_move_Blst_Regular_Used_motion
16	BlstUsedEmpty	Blst_Used_Empty	graphics/unit_icon/move/unit_icon_move_Blst_Used_Empty_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Blst_Used_Empty_sheet.png	unit_icon_move_Blst_Used_Empty_motion
17	Bonewalker	Bonewalker	graphics/unit_icon/move/unit_icon_move_Bonewalker_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Bonewalker_sheet.png	unit_icon_move_Bonewalker_motion
18	BonewalkerBow	Bonewalker_Bow	graphics/unit_icon/move/unit_icon_move_Bonewalker_Bow_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Bonewalker_Bow_sheet.png	unit_icon_move_Bonewalker_Bow_motion
19	Brigand	Brigand	graphics/unit_icon/move/unit_icon_move_Brigand_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Brigand_sheet.png	unit_icon_move_Brigand_motion
20	Cavalier	Cavalier	graphics/unit_icon/move/unit_icon_move_Cavalier_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Cavalier_sheet.png	unit_icon_move_Cavalier_motion
21	CivilianF1	Civilian_F1	graphics/unit_icon/move/unit_icon_move_Civilian_F1_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Civilian_F1_sheet.png	unit_icon_move_Civilian_F1_motion
22	CivilianF2	Civilian_F2	graphics/unit_icon/move/unit_icon_move_Civilian_F2_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Civilian_F2_sheet.png	unit_icon_move_Civilian_F2_motion
23	CivilianM1	Civilian_M1	graphics/unit_icon/move/unit_icon_move_Civilian_M1_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Civilian_M1_sheet.png	unit_icon_move_Civilian_M1_motion
24	CivilianM2	Civilian_M2	graphics/unit_icon/move/unit_icon_move_Civilian_M2_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Civilian_M2_sheet.png	unit_icon_move_Civilian_M2_motion
25	Cleric	Cleric	graphics/unit_icon/move/unit_icon_move_Cleric_sheet.png	graphics/unit_icon/wait/unit_icon_wait_Cleric_sheet.png	unit_icon_move_Cleric_motion
