cell_code	relative_png
01010000001	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_000.png
01010000101	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_001.png
01010000201	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_002.png
01010000301	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_003.png
01010000401	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_004.png
01010000501	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_005.png
01010000601	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_006.png
01010000701	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_007.png
01010000801	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_008.png
01010000901	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_009.png
01010001001	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_010.png
01010001101	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_011.png
01010001201	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_012.png
01010001301	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_013.png
01010001401	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_014.png
01010001501	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_015.png
01010001601	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_016.png
01010001701	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_017.png
01010001801	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_018.png
01010001901	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_019.png
01010002001	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_020.png
01010002101	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_021.png
01010002201	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_022.png
01010002301	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_023.png
01010002401	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_024.png
01010002501	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_025.png
01010002601	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_026.png
01010002701	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_027.png
01010002801	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_028.png
01010002901	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_029.png
01010003001	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_030.png
01010003101	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_031.png
01010003201	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_032.png
01010003301	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_033.png
01010003401	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_034.png
01010003501	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_035.png
01010003601	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_036.png
01010003701	assets/theme_001_chapters_01/class_01_plain/subclass_000/orientation_037.png
01020000012	assets/theme_001_chapters_01/class_02_forest/subclass_000/orientation_000.png
01020000112	assets/theme_001_chapters_01/class_02_forest/subclass_000/orientation_001.png
01020000212	assets/theme_001_chapters_01/class_02_forest/subclass_000/orientation_002.png
01040000018	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_000.png
01040000118	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_001.png
01040000218	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_002.png
01040000318	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_003.png
01040000418	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_004.png
01040000518	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_005.png
01040000618	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_006.png
01040000718	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_007.png
01040000818	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_008.png
01040000918	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_009.png
01040001018	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_010.png
01040001118	assets/theme_001_chapters_01/class_04_peak/subclass_000/orientation_011.png
01060000038	assets/theme_001_chapters_01/class_06_cliff/subclass_000/orientation_000.png
